n4,h,h,h,h,h,h,h,h,h,ih
n5,h,h,h,h,h,h,h,h,h,ih
n6,h,h,h,h,h,h,h,h,h,ih
n7,h,h,h,h,h,h,h,h,h,ih
n8,h,h,h,h,dh,h,h,h,h,ih
n9,dh,dh,dh,dh,dh,dh,h,h,h,ih
n10,dh,dh,dh,dh,dh,dh,dh,dh,h,ih
n11,dh,dh,dh,dh,dh,dh,dh,dh,dh,idh
n12,s,s,s,s,s,h,h,h,h,ih
n13,s,s,s,s,s,h,h,h,h,ih
n14,s,s,s,s,s,h,h,h,h,ih
n15,s,s,s,s,s,h,h,h,uh,ih
n16,s,s,s,s,s,h,h,uh,us,iuh
n17,s,s,s,s,s,s,s,s,s,ius
n18,s,s,s,s,s,s,s,s,s,is
n19,s,s,s,s,s,s,s,s,s,is
n20,s,s,s,s,s,s,s,s,s,is
n21,s,s,s,s,s,s,s,s,s,is
a12,h,h,h,h,h,h,h,h,h,ih
a13,h,h,h,dh,dh,h,h,h,h,ih
a14,h,h,h,dh,dh,h,h,h,h,ih
a15,h,h,dh,dh,dh,h,h,h,h,ih
a16,h,h,dh,dh,dh,h,h,h,h,ih
a17,dh,dh,dh,dh,dh,h,h,h,h,ih
a18,s,ds,ds,ds,ds,s,s,h,h,ih
a19,s,s,ds,ds,ds,s,s,s,s,is
a20,s,s,s,s,s,s,s,s,s,is
a21,s,s,s,s,s,s,s,s,s,is
s2,p,p,p,p,p,p,h,h,h,ih
s3,p,p,p,p,p,p,h,h,h,ih
s4,h,h,h,p,p,h,h,h,h,ih
s5,dh,dh,dh,dh,dh,dh,dh,dh,h,ih
s6,p,p,p,p,p,h,h,h,h,ih
s7,p,p,p,p,p,p,h,h,h,ih
s8,p,p,p,p,p,p,p,p,p,iup
s9,p,p,p,p,p,s,p,p,s,is
s10,s,s,s,s,s,s,s,s,s,is
s11,p,p,p,p,p,p,p,p,p,ip
